"date","home_team","away_team","home_score","away_score","tournament"
1,"Argentina","Paraguay",1,1,"FIFA World Cup qualification"
1,"Burkina Faso","Malawi",3,1,"African Cup of Nations qualification"
1,"Uganda","South Sudan",1,0,"African Cup of Nations qualification"
1,"Ghana","Sudan",2,0,"African Cup of Nations qualification"
1,"Cameroon","Mozambique",4,1,"African Cup of Nations qualification"
1,"Zambia","Botswana",2,1,"African Cup of Nations qualification"
1,"Algeria","Zimbabwe",3,1,"African Cup of Nations qualification"
1,"Congo","Eswatini",2,0,"African Cup of Nations qualification"
1,"Bangladesh","Nepal",2,0,"Friendly"
1,"Costa Rica","Qatar",1,1,"Friendly"
1,"Japan","Panama",1,0,"Friendly"
1,"Colombia","Uruguay",0,3,"FIFA World Cup qualification"
1,"Chile","Peru",2,0,"FIFA World Cup qualification"
1,"Brazil","Venezuela",1,0,"FIFA World Cup qualification"
1,"Mali","Namibia",1,0,"African Cup of Nations qualification"
1,"Morocco","Central African Republic",4,1,"African Cup of Nations qualification"
1,"Tunisia","Tanzania",1,0,"African Cup of Nations qualification"
1,"Niger","Ethiopia",1,0,"African Cup of Nations qualification"
1,"Nigeria","Sierra Leone",4,4,"African Cup of Nations qualification"
1,"Portugal","France",0,1,"UEFA Nations League"
1,"Sweden","Croatia",2,1,"UEFA Nations League"
1,"Germany","Ukraine",3,1,"UEFA Nations League"
1,"Switzerland","Spain",1,1,"UEFA Nations League"
1,"Azerbaijan","Montenegro",0,0,"UEFA Nations League"
1,"Cyprus","Luxembourg",2,1,"UEFA Nations League"
1,"Saudi Arabia","Jamaica",3,0,"Friendly"
1,"Egypt","Togo",1,0,"African Cup of Nations qualification"
1,"Benin","Lesotho",1,0,"African Cup of Nations qualification"
1,"Netherlands","Bosnia and Herzegovina",3,1,"UEFA Nations League"
1,"Italy","Poland",2,0,"UEFA Nations League"
1,"Belgium","England",2,0,"UEFA Nations League"
1,"Denmark","Iceland",2,1,"UEFA Nations League"
1,"Austria","Northern Ireland",2,1,"UEFA Nations League"
1,"Romania","Norway",3,0,"UEFA Nations League"
1,"Slovakia","Scotland",1,0,"UEFA Nations League"
1,"Czech Republic","Israel",1,0,"UEFA Nations League"
1,"Turkey","Russia",3,2,"UEFA Nations League"
1,"Hungary","Serbia",1,1,"UEFA Nations League"
1,"Wales","Republic of Ireland",1,0,"UEFA Nations League"
